County,count
Adair,22
Andrew,0
Atchison,0
Audrain,0
Barry,0
Barton,0
Bates,0
Benton,0
Bollinger,0 
Boone,124 
Buchanan,109 
Butler,24
Caldwell,0
Callaway,33 
Camden,33
Cape Girardeau,0
Carroll,0
Carter,0
Cass,64
Cedar,0
Chariton,0 
Christian,79
Clark,0 
Clay,301
Clinton,0 
Cole,57
Cooper,0
Crawford,35
Dade,0
Dallas,0
Daviess,0
Dekalb,0
Dent,0
Douglas,0
Dunklin,0 
Franklin,46
Gasconade,0
Gentry,0 
Greene,282
Grundy,0
Harrison,0
Henry,0
Hickory,0
Holt,0
Howard,0 
Howell,26
Iron,0 
Jackson,734 
Jasper,105 
Jefferson,108 
Johnson,55
Knox,0
Laclede,50 
Lafayette,33
Lawrence,0
Lewis,0
Lincoln,0
Linn,0
Livingston,0
Macon,0
Madison,23
Maries,0
Marion,0
McDonald,35
Mercer,0
Miller,0
Mississippi,0
Moniteau,0
Monroe,0
Montgomery,0
Morgan,0
New Madrid,0
Newton,72
Nodaway,0
Oregon,0
Osage,0
Ozark,0
Pemiscot,0
Perry,0
Pettis,29 
Phelps,25
Pike,0 
Platte,162
Polk,0
Pulaski,199
Putnam,0
Ralls,0
Randolph,0
Ray,0
Reynolds,0
Ripley,0
Saline,56
Schuyler,0
Scotland,0
Scott,0
Shannon,0
Shelby,0
St Charles,219
St Clair,0
St Francois,0
St Louis,387
St Louis City,166
Ste Genevieve,0
Stoddard,0
Stone,0
Sullivan,0
Taney,64
Texas,0
Vernon,0
Warren,0
Washington,0
Wayne,0
Webster,31
Worth,0
Wright,0